School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Impact Measure,Impact Value
20232024,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,903,KEDC,A1,School Leadership,50
20232024,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,903,KEDC,A1,Managing Student Behavior,47
20232024,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,903,KEDC,A1,School Climate,39
20232024,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,903,KEDC,A1,School Leadership,31
20232024,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,903,KEDC,A1,Managing Student Behavior,71
20232024,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,903,KEDC,A1,School Climate,78
20232024,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,903,KEDC,A1,School Leadership,83
20232024,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,903,KEDC,A1,Managing Student Behavior,68
20232024,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,903,KEDC,A1,School Climate,73
20232024,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,903,KEDC,A1,School Leadership,75
20232024,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,903,KEDC,A1,Managing Student Behavior,73
20232024,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,903,KEDC,A1,School Climate,84
20232024,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,903,KEDC,A1,School Leadership,84
20232024,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,903,KEDC,A1,Managing Student Behavior,75
20232024,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,903,KEDC,A1,School Climate,81
20232024,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,903,KEDC,A1,School Leadership,87
20232024,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,,903,KEDC,,Managing Student Behavior,78
20232024,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,,903,KEDC,,School Climate,80
20232024,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,,903,KEDC,,School Leadership,85
20232024,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,903,KEDC,A1,Managing Student Behavior,78
20232024,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,903,KEDC,A1,School Climate,80
20232024,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,903,KEDC,A1,School Leadership,85
20232024,004,BALLARD,015,Ballard County,,All Schools,015000,,,908,WKEC,,Managing Student Behavior,70
20232024,004,BALLARD,015,Ballard County,,All Schools,015000,,,908,WKEC,,School Climate,68
20232024,004,BALLARD,015,Ballard County,,All Schools,015000,,,908,WKEC,,School Leadership,69
20232024,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,908,WKEC,A1,Managing Student Behavior,69
20232024,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,908,WKEC,A1,School Climate,66
20232024,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,908,WKEC,A1,School Leadership,78
20232024,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,908,WKEC,A1,Managing Student Behavior,79
20232024,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,908,WKEC,A1,School Climate,77
20232024,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,908,WKEC,A1,School Leadership,79
20232024,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,908,WKEC,A1,Managing Student Behavior,53
20232024,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,908,WKEC,A1,School Climate,48
20232024,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,908,WKEC,A1,School Leadership,43
20232024,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,908,WKEC,A4,Managing Student Behavior,79
20232024,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,908,WKEC,A4,School Climate,84
20232024,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,908,WKEC,A4,School Leadership,79
20232024,061,KNOX,016,Barbourville Independent,,All Schools,016000,,,907,SESC,,Managing Student Behavior,75
20232024,061,KNOX,016,Barbourville Independent,,All Schools,016000,,,907,SESC,,School Climate,81
20232024,061,KNOX,016,Barbourville Independent,,All Schools,016000,,,907,SESC,,School Leadership,76
20232024,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,907,SESC,A1,Managing Student Behavior,75
20232024,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,907,SESC,A1,School Climate,81
20232024,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,907,SESC,A1,School Leadership,76
20232024,090,NELSON,017,Bardstown Independent,,All Schools,017000,,,901,CKEC,,Managing Student Behavior,67
20232024,090,NELSON,017,Bardstown Independent,,All Schools,017000,,,901,CKEC,,School Climate,65
20232024,090,NELSON,017,Bardstown Independent,,All Schools,017000,,,901,CKEC,,School Leadership,67
20232024,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,901,CKEC,A1,Managing Student Behavior,79
20232024,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,901,CKEC,A1,School Climate,74
20232024,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,901,CKEC,A1,School Leadership,79
20232024,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,901,CKEC,A1,Managing Student Behavior,75
20232024,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,901,CKEC,A1,School Climate,84
20232024,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,901,CKEC,A1,School Leadership,84
20232024,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,901,CKEC,A1,Managing Student Behavior,54
20232024,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,901,CKEC,A1,School Climate,55
20232024,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,901,CKEC,A1,School Leadership,64
20232024,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,901,CKEC,A1,Managing Student Behavior,60
20232024,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,901,CKEC,A1,School Climate,48
20232024,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,901,CKEC,A1,School Leadership,42
20232024,005,BARREN,021,Barren County,,All Schools,021000,,,902,GRREC,,Managing Student Behavior,68
20232024,005,BARREN,021,Barren County,,All Schools,021000,,,902,GRREC,,School Climate,69
20232024,005,BARREN,021,Barren County,,All Schools,021000,,,902,GRREC,,School Leadership,75
20232024,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,902,GRREC,A1,Managing Student Behavior,41
20232024,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,902,GRREC,A1,School Climate,54
20232024,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,902,GRREC,A1,School Leadership,44
20232024,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,902,GRREC,A5,Managing Student Behavior,86
20232024,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,902,GRREC,A5,School Climate,78
20232024,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,902,GRREC,A5,School Leadership,100
20232024,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,902,GRREC,A8,Managing Student Behavior,91
20232024,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,902,GRREC,A8,School Climate,83
20232024,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,902,GRREC,A8,School Leadership,88
20232024,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,902,GRREC,A1,Managing Student Behavior,80
20232024,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,902,GRREC,A1,School Climate,81
20232024,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,902,GRREC,A1,School Leadership,89
20232024,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,902,GRREC,A1,Managing Student Behavior,68
20232024,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,902,GRREC,A1,School Climate,60
20232024,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,902,GRREC,A1,School Leadership,74
20232024,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,902,GRREC,A1,Managing Student Behavior,79
20232024,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,902,GRREC,A1,School Climate,86
20232024,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,902,GRREC,A1,School Leadership,87
20232024,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,902,GRREC,A1,Managing Student Behavior,60
20232024,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,902,GRREC,A1,School Climate,50
20232024,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,902,GRREC,A1,School Leadership,78
20232024,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,902,GRREC,A1,Managing Student Behavior,67
20232024,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,902,GRREC,A1,School Climate,83
20232024,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,902,GRREC,A1,School Leadership,77
20232024,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,902,GRREC,A1,Managing Student Behavior,58
20232024,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,902,GRREC,A1,School Climate,54
20232024,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,902,GRREC,A1,School Leadership,64
20232024,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,902,GRREC,A1,Managing Student Behavior,74
20232024,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,902,GRREC,A1,School Climate,75
20232024,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,902,GRREC,A1,School Leadership,76
20232024,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,902,GRREC,A1,Managing Student Behavior,54
20232024,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,902,GRREC,A1,School Climate,56
20232024,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,902,GRREC,A1,School Leadership,49
20232024,006,BATH,025,Bath County,,All Schools,025000,,,903,KEDC,,Managing Student Behavior,61
20232024,006,BATH,025,Bath County,,All Schools,025000,,,903,KEDC,,School Climate,56
20232024,006,BATH,025,Bath County,,All Schools,025000,,,903,KEDC,,School Leadership,71
20232024,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,903,KEDC,A1,Managing Student Behavior,56
20232024,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,903,KEDC,A1,School Climate,63
20232024,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,903,KEDC,A1,School Leadership,80
20232024,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,903,KEDC,A1,Managing Student Behavior,65
20232024,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,903,KEDC,A1,School Climate,51
20232024,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,903,KEDC,A1,School Leadership,80
20232024,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,903,KEDC,A1,Managing Student Behavior,68
20232024,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,903,KEDC,A1,School Climate,56
20232024,006,BATH,025,Bath County,030,Owingsville Elementary School,025030,006025030,210033000056,903,KEDC,A1,School Leadership,61
20232024,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,903,KEDC,A1,Managing Student Behavior,57
20232024,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,903,KEDC,A1,School Climate,55
20232024,006,BATH,025,Bath County,040,Bath County High School,025040,006025040,210033000057,903,KEDC,A1,School Leadership,63
20232024,059,KENTON,026,Beechwood Independent,,All Schools,026000,,,905,NKCES,,Managing Student Behavior,71
20232024,059,KENTON,026,Beechwood Independent,,All Schools,026000,,,905,NKCES,,School Climate,75
